#,ML Number,Status,Address,City,Zip,Legal Subdivision Name,Subdivision/Condo Name,Heated Area,Current Price,Beds,Full Baths,Half Baths,Year Built,Pool,Property Style,Ownership,Tax,CDOM,ADOM,Days to Contract,Sold Terms,Close Date,LP / SqFt,SP/SqFt,SP / LP
1051,T3545876,ACT,2847 TARRAGONA WAY,WESLEY CHAPEL,33543,WIREGRASS M23 PH 1A & 1B,,"2,728","$677,700 ",4,4,0,2016,Community,Single Family Residence,Fee Simple,"$5,843.56 ",171,171,,,,$248.42 ,,
1052,T3546594,ACT,32884 ESTATE GARDEN DR,WESLEY CHAPEL,33545,WATERGRASS PCLS B-5 & B-6,,"2,513","$679,990 ",4,3,0,2024,Community,Single Family Residence,Fee Simple,"$3,999.00 ",170,170,,,,$270.59 ,,
1053,T3546077,ACT,4212 WILDSTAR CIR,WESLEY CHAPEL,33544,SEVEN OAKS PRCL C-1C/C-1D,,"4,034","$690,000 ",5,4,0,2012,Community,Single Family Residence,Fee Simple,"$12,946.00 ",171,171,,,,$171.05 ,,
1054,T3546589,ACT,7134 HEATHER SOUND LOOP,WESLEY CHAPEL,33545,WATERGRASS PCLS B-5 & B-6,,"2,769","$719,990 ",4,2,1,2024,Community,Single Family Residence,Fee Simple,"$4,256.00 ",170,170,,,,$260.02 ,,
1055,OM683190,ACT,3101 HOLLOW HICKORY PL,WESLEY CHAPEL,33543,WINDING RDG PH 1 & 2,,"3,248","$749,900 ",5,4,1,2021,Community,Single Family Residence,Fee Simple,"$3,418.00 ",522,165,,,,$230.88 ,,
1056,T3536694,ACT,33895 ANCHOR LIGHT LN,WESLEY CHAPEL,33543,RIVER LANDING,,"3,461","$762,049 ",5,4,1,2024,None,Single Family Residence,Fee Simple,$0.00 ,192,192,,,,$220.18 ,,
1057,U8253566,ACT,32801 ESTATE GARDEN DR,WESLEY CHAPEL,33545,WATERGRASS PCLS B-5 & B-6,,"3,058","$799,000 ",5,4,0,2021,Community,Single Family Residence,Fee Simple,"$12,805.00 ",458,96,,,,$261.28 ,,
1058,T3547768,ACT,28765 TAVIRA CT,WESLEY CHAPEL,33543,ESTANCIA PH 1B,,"4,044","$895,000 ",5,4,0,2014,Community,Single Family Residence,Fee Simple,"$14,279.00 ",160,160,,,,$221.32 ,,
1059,T3543186,ACT,3511 LOGGERHEAD WAY,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-9,,"4,332","$925,000 ",6,4,0,2006,Community,Single Family Residence,Fee Simple,"$14,616.00 ",137,137,,,,$213.53 ,,
1060,T3541050,ACT,8834 SANDERS TREE LOOP,WESLEY CHAPEL,33545,EPPERSON NORTH VILLAGE D-2,,"4,271","$1,000,000 ",5,4,0,2023,None,Single Family Residence,Fee Simple,"$5,341.37 ",189,189,,,,$234.14 ,,
1061,T3544756,ACT,4281 FRONTERA LN,WESLEY CHAPEL,33543,ESTANCIA PH 2B2,,"4,218","$1,100,000 ",5,4,0,2022,None,Single Family Residence,Fee Simple,"$17,833.00 ",171,171,,,,$260.79 ,,
1062,T3536314,ACT,32401 ROSEWOOD MEADOW LN,WESLEY CHAPEL,33543,WINDING RIDGE,,"4,139","$1,275,000 ",5,5,1,2023,"Private, Community",Single Family Residence,Fee Simple,"$1,086.80 ",205,205,,,,$308.05 ,,
1063,T3543297,ACT,33346 KATELAND DR,WESLEY CHAPEL,33545,WATERGRASS PCLS D2 D3 & D4,,"4,830","$1,359,900 ",6,4,1,2022,Community,Single Family Residence,Fee Simple,"$14,729.00 ",182,182,,,,$281.55 ,,
1064,W7867329,ACT,8949 MCKENDREE RD,WESLEY CHAPEL,33545,ACREAGE,,"1,488","$3,248,000 ",3,2,0,1999,None,Manufactured Home - Post 1977,Fee Simple,"$2,083.00 ",158,158,,,,"$2,182.80 ",,
1065,T3547504,PND,30203 SWINFORD LN,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3A,,"1,240","$219,000 ",2,2,1,2004,Community,Townhouse,Fee Simple,"$2,801.42 ",126,126,126,,,$176.61 ,,
1066,T3541006,PND,31324 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$289,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,175,175,175,,,$173.34 ,,
1067,T3545462,PND,34347 SORREL MINT DR,WESLEY CHAPEL,33543,ASHBERRY VILLAGE PH 2B,,"1,673","$299,900 ",3,2,1,2023,Community,Townhouse,Fee Simple,"$1,309.74 ",156,156,156,,,$179.26 ,,
1068,O6218510,PND,7642 INTREPID RD,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,99,99,119,,,$194.76 ,,
1069,T3541119,PND,31333 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,177,177,177,,,$176.33 ,,
1070,T3541114,PND,31334 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,758","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,163,163,163,,,$176.33 ,,
1071,O6220589,PND,7640 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,808","$314,545 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,161,161,161,,,$173.97 ,,
1072,T3536156,PND,31458 ANCIENT SAGE RD,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,565","$314,990 ",3,2,0,2024,Community,Villa,Fee Simple,$0.00 ,124,124,148,,,$201.27 ,,
1073,T3541462,PND,7828 STONEBROOK CIR,WESLEY CHAPEL,33545,WATERGRASS PRCL F-2,,"1,587","$324,990 ",3,2,0,2021,Community,Villa,Fee Simple,"$4,812.00 ",153,153,157,,,$204.78 ,,
1074,O6218507,PND,7646 INTREPID RD,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,808","$339,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,181,181,201,,,$187.50 ,,
1075,T3546436,PND,2541 BENDING BONSAI DR,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$344,990 ",3,2,0,2024,Community,Villa,Fee Simple,$0.00 ,169,169,169,,,$220.44 ,,
1076,T3546443,PND,2533 BENDING BONSAI DR,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$349,990 ",3,2,0,2024,Community,Villa,Fee Simple,$0.00 ,128,128,128,,,$223.64 ,,
1077,T3546432,PND,2534 BENDING BONSAI DR,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$349,990 ",3,2,0,2024,Community,Villa,Fee Simple,$0.00 ,149,149,149,,,$223.64 ,,
1078,A4617016,PND,5322 TREIG LN,WESLEY CHAPEL,33545,ABERDEEN PH 02,,"1,874","$359,900 ",3,2,0,2003,None,Single Family Residence,Fee Simple,"$2,949.00 ",150,150,151,,,$192.05 ,,
1079,T3547204,PND,31467 WOODLAND RACE LOOP,WESLEY CHAPEL,33545,TWIN CREEKS AT CHAPEL CROSSINGS,,"1,667","$359,947 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$2,057.00 ",79,79,79,,,$215.93 ,,
1080,T3546428,PND,2522 BENDING BONSAI DR,WESLEY CHAPEL,33543,WOODCREEK,,"1,565","$369,990 ",3,2,0,2024,Community,Villa,Fee Simple,$0.00 ,132,132,149,,,$236.42 ,,
1081,T3546837,PND,33378 REGENT CANAL ST,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,916","$376,990 ",3,2,1,2024,Community,Single Family Residence,Fee Simple,$0.00 ,111,111,111,,,$196.76 ,,
1082,T3542996,PND,7830 MARINERS HARBOUR DR,WESLEY CHAPEL,33545,PALM COVE PH 1A,,"2,056","$384,900 ",4,2,0,2005,None,Single Family Residence,Fee Simple,"$5,084.45 ",127,127,127,,,$187.21 ,,
1083,T3548559,PND,31444 WOODLAND RACE LOOP,WESLEY CHAPEL,33545,TWIN CREEKS AT CHAPEL CROSSINGS,,"2,230","$399,076 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$2,082.00 ",152,152,152,,,$178.96 ,,
1084,T3544646,PND,7821 PEACE LILY AVE,WESLEY CHAPEL,33545,PASADENA POINT,,"2,039","$399,990 ",4,2,1,2024,Community,Single Family Residence,Fee Simple,$304.65 ,108,108,108,,,$196.17 ,,
1085,T3548659,PND,33286 REGENT CANAL ST,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"2,260","$404,990 ",4,2,1,2024,Community,Single Family Residence,Fee Simple,$0.00 ,80,80,80,,,$179.20 ,,
1086,T3544450,PND,1122 NAPOLEAN WAY,WESLEY CHAPEL,33544,BELLE CHASE,,"2,083","$420,000 ",3,2,0,2005,None,Single Family Residence,Fee Simple,"$2,129.84 ",158,158,158,,,$201.63 ,,
1087,T3548462,PND,1653 LUDINGTON AVE,WESLEY CHAPEL,33543,UNION PARK PH 4A,,"1,810","$424,900 ",3,2,1,2016,Community,Single Family Residence,Fee Simple,"$4,627.52 ",188,100,100,,,$234.75 ,,
1088,T3536278,PND,2452 KENCHESTER LOOP,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL DD & Y,,"2,477","$424,900 ",4,3,0,2007,Community,Single Family Residence,Fee Simple,"$5,931.00 ",206,206,209,,,$171.54 ,,
1089,T3545323,PND,31038 PENDLETON LANDING CIR,WESLEY CHAPEL,33545,PENDLETON,,"1,506","$439,550 ",2,2,0,2025,Community,Single Family Residence,Fee Simple,"$5,500.00 ",0,0,0,,,$291.87 ,,
1090,T3541877,PND,31420 SADDLE LN,WESLEY CHAPEL,33543,FOX RIDGE,,"1,276","$452,210 ",3,2,0,1985,None,Single Family Residence,Fee Simple,$188.00 ,177,177,177,,,$354.40 ,,
1091,T3537668,PND,4602 ROSATTI RD,WESLEY CHAPEL,33545,ESPLANADE AT WIREGRASS RANCH,,"1,689","$520,669 ",2,2,0,2024,Community,Single Family Residence,Fee Simple,$0.00 ,4,4,4,,,$308.27 ,,
1092,T3543006,PND,4610 ROSATTI RD,WESLEY CHAPEL,33545,ESPLANADE AT WIREGRASS RANCH,,"1,926","$538,635 ",3,2,0,2024,Community,Single Family Residence,Fee Simple,$0.00 ,79,79,79,,,$279.67 ,,
1093,T3542208,PND,31524 BEARDED OAK DR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL DD & Y,,"2,666","$575,000 ",4,3,0,2008,"Private, Community",Single Family Residence,Fee Simple,"$6,126.67 ",167,167,167,,,$215.68 ,,
1094,T3544103,PND,3519 HAYSTACK RD,WESLEY CHAPEL,33543,FOX RIDGE,,"2,431","$579,900 ",4,3,0,1999,Private,Single Family Residence,Fee Simple,"$2,524.79 ",106,106,162,,,$238.54 ,,
1095,T3543130,PND,7525 THUNDERHEAD ST,WESLEY CHAPEL,33544,QUAIL HOLLOW PINES,,"1,956","$585,000 ",3,2,0,1985,Private,Single Family Residence,Fee Simple,"$2,773.82 ",233,125,170,,,$299.08 ,,
1096,T3548948,PND,3335 GUANABANA XING,WESLEY CHAPEL,33543,PERSIMMON PARK PH 2B,,"2,392","$614,990 ",4,3,1,2024,Community,Single Family Residence,Fee Simple,"$2,197.00 ",121,121,121,,,$257.10 ,,
1097,U8248748,PND,31157 LINDENTREE DR,WESLEY CHAPEL,33543,WIREGRASS M23 PH 3,,"3,381","$699,900 ",5,4,0,2020,Community,Single Family Residence,Fee Simple,"$10,720.32 ",134,134,134,,,$207.01 ,,
1098,T3535759,PND,33881 ANCHOR LIGHT LN,WESLEY CHAPEL,33543,RIVER LANDING,,"2,259","$768,655 ",5,5,1,2025,None,Single Family Residence,Fee Simple,$0.00 ,51,51,51,,,$340.26 ,,
1099,T3545628,PND,8085 LAGO MIST WAY,WESLEY CHAPEL,33545,EPPERSON RANCH SOUTH PH 1B-2,,"3,292","$769,000 ",5,3,0,2018,"Private, Community",Single Family Residence,Fee Simple,"$8,918.35 ",164,164,164,,,$233.60 ,,
1100,T3544184,PND,4937 FRECCIA LOOP,WESLEY CHAPEL,33545,ESPLANADE AT WIREGRASS RANCH,,"3,004","$799,875 ",3,3,0,2025,Community,Single Family Residence,Fee Simple,$0.00 ,129,129,129,,,$266.27 ,,
1101,T3542119,PND,30723 LINDENTREE DR,WESLEY CHAPEL,33543,THE RIDGE AT WIREGRASS RANCH,,"3,381","$825,000 ",5,4,0,2019,"Private, Community",Single Family Residence,Fee Simple,"$13,514.00 ",165,153,174,,,$244.01 ,,
1102,T3548022,PND,7224 GRAYBROOK DR,WESLEY CHAPEL,33545,WATERGRASS PCLS D2 D3 & D4,,"4,429","$1,399,900 ",5,4,1,2021,"Private, Community",Single Family Residence,Fee Simple,"$14,875.00 ",156,156,159,,,$316.08 ,,
1103,T3548223,PND,30737 ELAM RD,WESLEY CHAPEL,33545,METES AND BOUNDS KING LAKE AREA,,"2,309","$2,500,000 ",3,2,0,2005,Private,Single Family Residence,Fee Simple,"$5,590.01 ",0,0,0,,,"$1,082.72 ",,
1104,T3545071,SLD,3906 SARAH DR,WESLEY CHAPEL,33543,TERRACE PARK PLAT ONE,,936,"$47,000 ",2,2,0,1983,Community,Manufactured Home - Post 1977,Fee Simple,$319.00 ,78,78,78,Private,11/6/2024,$106.73 ,$50.21 ,0.47
1105,T3547532,SLD,26451 GLENHAVEN RD,WESLEY CHAPEL,33544,ANGUS VALLEY,,924,"$60,000 ",2,2,0,1994,None,Manufactured Home - Post 1977,Fee Simple,"$1,327.91 ",13,13,13,Cash,8/30/2024,$129.76 ,$64.94 ,0.5
1106,J978321,SLD,7515 ROOKS DR,WESLEY CHAPEL,33545,BAYSHORE ESTATES,,"2,052","$75,000 ",3,2,1,2015,None,Manufactured Home - Post 1977,Fee Simple,"$3,197.52 ",0,0,-37,Conventional,6/28/2024,$36.55 ,$36.55 ,1
1107,T3538643,SLD,26105 GLENWOOD DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,200","$139,900 ",3,2,0,1996,None,Manufactured Home - Post 1977,Fee Simple,"$1,434.70 ",6,6,6,Cash,7/26/2024,$116.58 ,$116.58 ,1
1108,U8250903,SLD,34044 DOVEWOOD DR,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,056","$146,000 ",2,2,0,1987,Community,Manufactured Home - Post 1977,Condominium,$408.00 ,37,37,37,Cash,9/17/2024,$150.57 ,$138.26 ,0.92
1109,T3535981,SLD,34125 ESTATES LN,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES A CONDOMINIUM - PHASE 3,,"1,176","$148,000 ",2,2,0,1993,Community,Manufactured Home - Post 1977,Condominium,$739.00 ,80,80,80,Conventional,10/16/2024,$135.20 ,$125.85 ,0.93
1110,T3547743,SLD,3611 LOURY DR,WESLEY CHAPEL,33543,WILLIAMS NEW RIVER ACRES UNREC,,648,"$150,000 ",2,1,1,1972,None,Mobile Home - Pre 1976,Fee Simple,"$1,301.00 ",35,35,37,Cash,10/25/2024,$231.48 ,$231.48 ,1
1111,U8249170,SLD,3125 SHORT LEAF ST,WESLEY CHAPEL,33543,TIMBER LAKE ESTATES,,"1,624","$150,000 ",3,2,0,1993,Community,Manufactured Home - Post 1977,Condominium,$620.88 ,52,52,52,Cash,11/8/2024,$129.25 ,$92.36 ,0.71
1112,T3545641,SLD,33306 ARTHUR DR,WESLEY CHAPEL,33543,WILLIAMS NEW RIVER ACRES,,"1,152","$200,000 ",3,2,0,1983,None,Manufactured Home - Post 1977,Fee Simple,"$3,642.00 ",44,44,44,Cash,9/30/2024,$230.03 ,$173.61 ,0.75
1113,T3547713,SLD,30237 LACLEDES LN,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 02A,,"1,184","$207,000 ",2,1,1,2001,Community,Townhouse,Fee Simple,"$3,588.00 ",39,39,39,Conventional,10/25/2024,$181.59 ,$174.83 ,0.96
1114,T3539197,SLD,1251 REDONDO WAY,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 14,,"1,184","$210,000 ",2,2,1,1999,Community,Townhouse,Fee Simple,"$3,618.06 ",48,48,48,Cash,8/30/2024,$185.81 ,$177.36 ,0.95
1115,T3541058,SLD,31240 CLARIDGE PL,WESLEY CHAPEL,33543,MEADOW POINTE 03 A C-2 L-8C,,"1,161","$215,000 ",2,2,1,2007,Community,Townhouse,Fee Simple,"$4,691.00 ",28,28,63,Private,9/12/2024,$206.72 ,$185.19 ,0.9
1116,T3538342,SLD,1415 LYONSHIRE DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16,,"1,191","$218,000 ",2,2,1,2001,Community,Townhouse,Fee Simple,"$3,989.77 ",44,44,45,Cash,9/5/2024,$197.31 ,$183.04 ,0.93
1117,W7866425,SLD,1232 CHARLESWORTH DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3A,,"1,460","$225,000 ",3,2,1,2004,None,Townhouse,Fee Simple,"$4,951.58 ",97,97,101,Cash,11/1/2024,$171.23 ,$154.11 ,0.9
1118,T3548620,SLD,1025 BLACKWATER DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UN 3B,,"1,298","$229,000 ",2,2,1,2004,Community,Townhouse,Fee Simple,"$1,781.72 ",91,91,98,Conventional,12/26/2024,$182.97 ,$176.43 ,0.96
1119,T3540441,SLD,1244 CHARLESWORTH DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16 UNIT 3A,,"1,593","$230,000 ",3,2,1,2005,Community,Townhouse,Fee Simple,"$4,881.00 ",7,7,7,Cash,8/5/2024,$153.80 ,$144.38 ,0.94
1120,T3537461,SLD,1311 LYONSHIRE DR,WESLEY CHAPEL,33543,MEADOW POINTE PRCL 16,,"1,191","$230,000 ",2,2,1,2002,Community,Townhouse,Fee Simple,"$4,011.96 ",37,37,38,Conventional,9/9/2024,$197.31 ,$193.12 ,0.98
1121,T3544469,SLD,3801 KIAH DR,WESLEY CHAPEL,33543,TERRACE PARK PH 03,,"1,754","$240,000 ",3,2,0,2002,None,Manufactured Home - Post 1977,Fee Simple,$769.90 ,5,5,5,Conventional,9/17/2024,$128.22 ,$136.83 ,1.07
1122,T3542882,SLD,34254 POLACCA LN,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$260,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",26,26,26,Conventional,9/19/2024,$214.85 ,$189.37 ,0.88
1123,T3535883,SLD,26533 CHIMNEY SPIRE LN,WESLEY CHAPEL,33544,BAY AT CYPRESS CREEK,,"1,588","$260,000 ",3,2,1,2005,Community,Townhouse,Fee Simple,"$3,640.00 ",36,36,36,Cash,8/9/2024,$173.17 ,$163.73 ,0.95
1124,U8252296,SLD,26549 CASTLEVIEW WAY,WESLEY CHAPEL,33544,BAY AT CYPRESS CREEK,,"1,588","$265,000 ",3,2,1,2005,Community,Townhouse,Fee Simple,$980.82 ,134,134,135,Conventional,1/16/2025,$173.17 ,$166.88 ,0.96
1125,T3542855,SLD,34258 POLACCA LN,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$265,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",72,72,72,Conventional,11/27/2024,$196.61 ,$193.01 ,0.98
1126,T3545205,SLD,34255 POLACCA LN,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$269,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",80,80,80,Conventional,11/20/2024,$193.00 ,$195.92 ,1.02
1127,U8251544,SLD,4016 FOX RIDGE BLVD,WESLEY CHAPEL,33543,FOX RIDGE,,"1,466","$269,000 ",2,2,0,1984,None,Manufactured Home - Post 1977,Fee Simple,$535.67 ,5,5,5,FHA,9/20/2024,$183.49 ,$183.49 ,1
1128,T3540457,SLD,6553 WOODSMAN DR,WESLEY CHAPEL,33544,ANGUS VALLEY,,"1,434","$279,000 ",3,2,0,1977,None,Single Family Residence,Fee Simple,"$4,155.49 ",53,53,108,FHA,12/5/2024,$194.56 ,$194.56 ,1
1129,T3545207,SLD,34251 POLACCA LN,WESLEY CHAPEL,33543,THE TOWNHOMES AT RIVER LANDING,,"1,373","$285,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,"$5,000.00 ",18,18,18,Conventional,10/8/2024,$218.94 ,$207.57 ,0.95
1130,T3544109,SLD,5023 CACTUS NEEDLE LN,WESLEY CHAPEL,33544,SANTA FE AT WESTBROOKE,,"1,576","$285,000 ",3,2,1,2017,Community,Townhouse,Fee Simple,"$2,347.13 ",87,87,171,FHA,12/19/2024,$183.38 ,$180.84 ,0.99
1131,T3537581,SLD,3851 SILVERLAKE WAY,WESLEY CHAPEL,33544,SEVEN OAKS PRCL S-6A,,"1,689","$285,000 ",3,2,1,2016,Community,Townhouse,Fee Simple,"$3,808.58 ",10,10,15,FHA,8/15/2024,$177.56 ,$168.74 ,0.95
1132,T3537975,SLD,27149 LA JOLLA WAY,WESLEY CHAPEL,33544,NORTHWOOD,,"1,188","$290,000 ",3,2,0,2002,Community,Single Family Residence,Fee Simple,"$3,244.99 ",2,2,2,Conventional,8/7/2024,$251.68 ,$244.11 ,0.97
1133,T3535896,SLD,32411 FISH HOOK LOOP,WESLEY CHAPEL,33545,NEW RIVER LAKES B2&D,,"1,130","$292,000 ",3,2,0,2003,Community,Single Family Residence,Fee Simple,"$3,322.00 ",52,52,53,Conventional,9/13/2024,$260.18 ,$258.41 ,0.99
1134,O6224205,SLD,7618 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$299,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,22,22,22,Cash,9/9/2024,$191.56 ,$191.56 ,1
1135,T3541096,SLD,31328 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$299,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,117,117,114,FHA,12/11/2024,$179.31 ,$179.31 ,1
1136,T3540998,SLD,31312 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$299,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,87,87,87,FHA,11/13/2024,$179.31 ,$179.31 ,1
1137,T3538701,SLD,31364 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$299,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,68,68,68,Conventional,10/28/2024,$179.31 ,$179.31 ,1
1138,T3538676,SLD,31352 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$299,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,78,78,78,FHA,10/30/2024,$179.31 ,$179.31 ,1
1139,O6218508,SLD,7630 INTREPID RD,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$300,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,88,88,141,Conventional,12/20/2024,$194.76 ,$191.57 ,0.98
1140,T3547135,SLD,33032 REGENT CANAL ST,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,673","$304,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,68,68,68,FHA,11/24/2024,$182.30 ,$182.30 ,1
1141,T3541005,SLD,31320 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$304,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,65,65,108,Conventional,11/11/2024,$182.30 ,$182.30 ,1
1142,O6227558,SLD,7622 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,7,7,7,Conventional,8/28/2024,$194.76 ,$194.76 ,1
1143,O6224757,SLD,7640 INTREPID RD,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,65,65,85,FHA,12/4/2024,$194.76 ,$194.76 ,1
1144,O6224748,SLD,7630 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,28,28,28,Cash,9/23/2024,$201.15 ,$194.76 ,0.97
1145,O6220591,SLD,7636 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,35,35,35,Conventional,9/6/2024,$228.67 ,$194.76 ,0.85
1146,O6220590,SLD,7632 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,35,35,35,Cash,9/13/2024,$207.54 ,$194.76 ,0.94
1147,O6218509,SLD,7636 INTREPID RD,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$305,000 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,131,131,151,FHA,12/27/2024,$194.76 ,$194.76 ,1
1148,T3545087,SLD,1252 BENSBROOKE DR,WESLEY CHAPEL,33543,MEADOW POINTE 03 PRCL PP & QQ,,"1,713","$308,000 ",3,2,0,2005,Community,Villa,Fee Simple,"$6,106.95 ",105,105,105,Conventional,12/13/2024,$180.97 ,$179.80 ,0.99
1149,J978148,SLD,31356 PAPER BIRCH ST,WESLEY CHAPEL,33545,TOWNS  AT WOODSDALE,,"1,673","$308,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$105.00 ,0,0,-31,FHA,6/26/2024,$184.69 ,$184.69 ,1
1150,U8251612,SLD,30953 PROUT CT,WESLEY CHAPEL,33543,MEADOW POINTE 03 PH 01 UNIT 1C-2,,"1,551","$309,900 ",2,2,0,2004,Community,Villa,Fee Simple,"$3,212.00 ",113,113,145,VA,12/24/2024,$199.81 ,$199.81 ,1
1151,T3541001,SLD,31316 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,47,47,47,Cash,11/5/2024,$185.29 ,$185.29 ,1
1152,T3540991,SLD,31308 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,24,24,24,FHA,11/8/2024,$185.29 ,$185.29 ,1
1153,T3538113,SLD,33031 REGENT CANAL ST,WESLEY CHAPEL,33545,WESTGATE AT AVALON PARK,,"1,673","$309,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,84,84,84,FHA,10/29/2024,$185.29 ,$185.29 ,1
1154,O6215548,SLD,7635 MOMENTUM PKWY,WESLEY CHAPEL,33545,WATERGRASS TOWNS,,"1,566","$310,000 ",3,2,1,2023,Community,Townhouse,Fee Simple,$0.00 ,79,79,128,Conventional,12/13/2024,$227.96 ,$197.96 ,0.87
1155,T3538678,SLD,31360 MIDNIGHT SUN WAY,WESLEY CHAPEL,33545,TOWNS AT WOODSDALE,,"1,673","$310,990 ",3,2,1,2024,Community,Townhouse,Fee Simple,$0.00 ,17,17,17,FHA,10/28/2024,$185.89 ,$185.89 ,1
